Action,Time,ISIN,Ticker,Name,Notes,ID,No. of shares,Price / share,Currency (Price / share),Exchange rate,Result,Currency (Result),Total,Currency (Total),Withholding tax,Currency (Withholding tax),Charge amount,Currency (Charge amount),Deposit fee,Currency (Deposit fee),Stamp duty reserve tax,Currency (Stamp duty reserve tax),Currency conversion fee,Currency (Currency conversion fee)
Market sell,2024-12-02 18:56:44.65,US06684L1035,BZUN,"Baozun",,EOF24408649828,31.8300000000,2.720000,USD,1.04866279,0.58,"EUR",82.44,"EUR",,,,,,,,,0.12,"EUR"
Stop limit sell,2024-12-05 01:00:03.192,US67066G1040,NVDA,"Nvidia",,EOF24504532523,25.2500000000,142.800000,USD,1.05142987,86.36,"EUR",3424.19,"EUR",,,,,,,,,5.14,"EUR"
Market buy,2024-12-05 19:19:33.156,US67066G1040,NVDA,"Nvidia",,EOF24553573715,7.2815284000,145.050000,USD,1.05777235,,"EUR",1000.00,"EUR",,,,,,,,,1.50,"EUR"
Market buy,2024-12-06 08:00:20.906,IE00B4ND3602,EGLN,"iShares Physical Gold",,EOF24553599734,0.2044960000,48.490000,EUR,1.00000000,,"EUR",9.92,"EUR",,,,,,,,,,
Market buy,2024-12-06 08:00:21.854,IE00B4ND3602,EGLN,"iShares Physical Gold",,EOF24553599806,5.3647660000,48.480000,EUR,1.00000000,,"EUR",260.08,"EUR",,,,,,,,,,
Market buy,2024-12-06 08:13:01.382,IE00B4ND3602,EGLN,"iShares Physical Gold",,EOF24555658664,0.6188090000,48.480000,EUR,1.00000000,,"EUR",30.00,"EUR",,,,,,,,,,
Limit buy,2024-12-06 16:11:54.663,US67066G1040,NVDA,"Nvidia",,EOF24604856021,7.4000000000,142.480000,USD,1.05591475,,"EUR",1000.02,"EUR",,,,,,,,,1.50,"EUR"
Market buy,2024-12-09 08:00:08.269,IE00B4ND3602,EGLN,"iShares Physical Gold",,EOF24701064976,0.6148780000,48.790000,EUR,1.00000000,,"EUR",30.00,"EUR",,,,,,,,,,
Market buy,2024-12-09 08:05:30.072,IE00B4ND3602,EGLN,"iShares Physical Gold",,EOF24701082270,0.6152560000,48.760000,EUR,1.00000000,,"EUR",30.00,"EUR",,,,,,,,,,
Market buy,2024-12-09 08:15:21.304,IE00B4ND3602,EGLN,"iShares Physical Gold",,EOF24701087742,0.6151300000,48.770000,EUR,1.00000000,,"EUR",30.00,"EUR",,,,,,,,,,
